id,name,parent
1,Badung,
2,Bangli,
3,Buleleng,
4,Denpasar,
5,Gianyar,
6,Jembrana,
7,Karangasem,
8,Klungkung,
9,Tabanan,
10,Abang,7.0
11,Abiansemal,1.0
12,Bangli,2.0
13,Banjar,3.0
14,Banjarangkan,8.0
15,Banjarankan,8.0
16,Baturiti,9.0
17,Bebandem,7.0
18,Blahbatuh,5.0
19,Buleleng,3.0
20,Busungbiu,3.0
21,Dawan,8.0
22,Denpasar Barat,4.0
23,Denpasar Selatan,4.0
24,Denpasar Timur,4.0
25,Denpasar Utara,4.0
26,Gerokgak,3.0
27,Gianyar,5.0
28,Jembrana,6.0
29,Karangasem,7.0
30,Kediri,9.0
31,Kerambitan,9.0
32,Kintamani,2.0
33,Klungkung,8.0
34,Kubu,7.0
35,Kubutambahan,3.0
36,Kuta,1.0
37,Kuta Selatan,1.0
38,Kuta Utara,1.0
39,Manggis,7.0
40,Marga,9.0
41,Melaya,6.0
42,Menddoyo,6.0
43,Mendoyo,6.0
44,Mengwi,1.0
45,Negara,6.0
46,Nusapenida,8.0
47,Payangan,5.0
48,Pekutatan,6.0
49,Penebel,9.0
50,Petang,1.0
51,Pupuan,9.0
52,Rendang,7.0
53,Sawan,3.0
54,Selat,7.0
55,Selemadeg,9.0
56,Selemadeg Barat,9.0
57,Selemadeg Timur,9.0
58,Seririt,3.0
59,Sidemen,7.0
60,Sukasada,3.0
61,Sukawati,5.0
62,Susut,2.0
63,Tabanan,9.0
64,Tampaksiring,5.0
65,Tegallalang,5.0
66,Tejakula,3.0
67,Tembuku,2.0
68,Ubud,5.0
69,Aan,15.0
70,Ababi,10.0
71,Abang,10.0
72,Abang Batu Dinding,32.0
73,Abang Songan,32.0
74,Abian Tuwung,30.0
75,Abianbase,44.0
76,Abianbase,27.0
77,Abiansemal,11.0
78,Abuan,32.0
79,Abuan,62.0
80,Air Kuning,28.0
81,Akah,33.0
82,Alasangker,19.0
83,Ambengan,60.0
84,Amerta Bhuana,54.0
85,Angantaka,11.0
86,Angkah,56.0
87,Angseri,16.0
88,Antap,55.0
89,Antapan,16.0
90,Antiga,39.0
91,Antiga Kelod,39.0
92,Antosari,56.0
93,Anturan,19.0
94,Apuan,62.0
95,Apuan,16.0
96,Asahduren,48.0
97,Astina,19.0
98,Awan,32.0
99,Ayunan,11.0
100,Babahan,49.0
101,Baha,44.0
102,Bajera,55.0
103,Bajera Utara,55.0
104,Bakas,14.0
105,Bakbakan,27.0
106,Baktiseraga,19.0
107,Baler Bale Agung,45.0
108,Baluk,45.0
109,Ban,34.0
110,Bangbang,67.0
111,Bangli,16.0
112,Banjar,13.0
113,Banjar Anyar,30.0
114,Banjar Asem,58.0
115,Banjar Bali,19.0
116,Banjar Jawa,19.0
